source_row	mode	old_path	canonical_path	old_display_name	canonical_display_name	design_style	publication_status	reason	review_status
18	PERMANENT_ALIAS	chrysonyx_surround_guilloche_aged	chrysonyx_aged_surround_byzantine	Chrysonyx Aged Guilloche Surround	Chrysonyx Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
19	PERMANENT_ALIAS	etruscus_cornice_guilloche_aged	etruscus_aged_cornice_byzantine	Etruscus Aged Guilloche Cornice	Etruscus Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
20	PERMANENT_ALIAS	etruscus_surround_guilloche_aged	etruscus_aged_surround_byzantine	Etruscus Aged Guilloche Surround	Etruscus Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
21	PERMANENT_ALIAS	gelastrum_cornice_guilloche_aged	gelastrum_aged_cornice_byzantine	Gelastrum Aged Guilloche Cornice	Gelastrum Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
22	PERMANENT_ALIAS	gelastrum_surround_guilloche_aged	gelastrum_aged_surround_byzantine	Gelastrum Aged Guilloche Surround	Gelastrum Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
23	PERMANENT_ALIAS	glacium_cornice_guilloche_aged	glacium_aged_cornice_byzantine	Glacium Aged Guilloche Cornice	Glacium Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
24	PERMANENT_ALIAS	glacium_surround_guilloche_aged	glacium_aged_surround_byzantine	Glacium Aged Guilloche Surround	Glacium Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
25	PERMANENT_ALIAS	hesperion_cornice_guilloche_aged	hesperion_aged_cornice_byzantine	Hesperion Aged Guilloche Cornice	Hesperion Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
26	PERMANENT_ALIAS	hesperion_surround_guilloche_aged	hesperion_aged_surround_byzantine	Hesperion Aged Guilloche Surround	Hesperion Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
27	PERMANENT_ALIAS	imperium_cornice_guilloche_aged	imperium_aged_cornice_byzantine	Imperium Aged Guilloche Cornice	Imperium Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
28	PERMANENT_ALIAS	imperium_surround_guilloche_aged	imperium_aged_surround_byzantine	Imperium Aged Guilloche Surround	Imperium Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
29	PERMANENT_ALIAS	kelastrion_cornice_guilloche_aged	kelastrion_aged_cornice_byzantine	Kelastrion Aged Guilloche Cornice	Kelastrion Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
30	PERMANENT_ALIAS	kelastrion_surround_guilloche_aged	kelastrion_aged_surround_byzantine	Kelastrion Aged Guilloche Surround	Kelastrion Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
31	PERMANENT_ALIAS	kylorion_cornice_guilloche_aged	kylorion_aged_cornice_byzantine	Kylorion Aged Guilloche Cornice	Kylorion Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
32	PERMANENT_ALIAS	kylorion_surround_guilloche_aged	kylorion_aged_surround_byzantine	Kylorion Aged Guilloche Surround	Kylorion Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
33	PERMANENT_ALIAS	latmion_cornice_guilloche_aged	latmion_aged_cornice_byzantine	Latmion Aged Guilloche Cornice	Latmion Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
34	PERMANENT_ALIAS	latmion_surround_guilloche_aged	latmion_aged_surround_byzantine	Latmion Aged Guilloche Surround	Latmion Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
35	PERMANENT_ALIAS	laurentium_cornice_guilloche_aged	laurentium_aged_cornice_byzantine	Laurentium Aged Guilloche Cornice	Laurentium Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
36	PERMANENT_ALIAS	laurentium_surround_guilloche_aged	laurentium_aged_surround_byzantine	Laurentium Aged Guilloche Surround	Laurentium Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
37	PERMANENT_ALIAS	mielonyx_cornice_guilloche_aged	mielonyx_aged_cornice_byzantine	Mielonyx Aged Guilloche Cornice	Mielonyx Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
38	PERMANENT_ALIAS	mielonyx_surround_guilloche_aged	mielonyx_aged_surround_byzantine	Mielonyx Aged Guilloche Surround	Mielonyx Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
39	PERMANENT_ALIAS	nerium_cornice_guilloche_aged	nerium_aged_cornice_byzantine	Nerium Aged Guilloche Cornice	Nerium Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
40	PERMANENT_ALIAS	nerium_surround_guilloche_aged	nerium_aged_surround_byzantine	Nerium Aged Guilloche Surround	Nerium Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
41	PERMANENT_ALIAS	noxoplis_cornice_guilloche_aged	noxoplis_aged_cornice_byzantine	Noxoplis Aged Guilloche Cornice	Noxoplis Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
42	PERMANENT_ALIAS	noxoplis_surround_guilloche_aged	noxoplis_aged_surround_byzantine	Noxoplis Aged Guilloche Surround	Noxoplis Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
43	PERMANENT_ALIAS	porphyros_cornice_guilloche_aged	porphyros_aged_cornice_byzantine	Porphyros Aged Guilloche Cornice	Porphyros Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
44	PERMANENT_ALIAS	porphyros_surround_guilloche_aged	porphyros_aged_surround_byzantine	Porphyros Aged Guilloche Surround	Porphyros Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
45	PERMANENT_ALIAS	portorium_cornice_guilloche_aged	portorium_aged_cornice_byzantine	Portorium Aged Guilloche Cornice	Portorium Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
46	PERMANENT_ALIAS	portorium_surround_guilloche_aged	portorium_aged_surround_byzantine	Portorium Aged Guilloche Surround	Portorium Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
47	PERMANENT_ALIAS	psamatheon_cornice_guilloche_aged	psamatheon_aged_cornice_byzantine	Psamatheon Aged Guilloche Cornice	Psamatheon Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
48	PERMANENT_ALIAS	psamatheon_surround_guilloche_aged	psamatheon_aged_surround_byzantine	Psamatheon Aged Guilloche Surround	Psamatheon Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
49	PERMANENT_ALIAS	rosinium_cornice_guilloche_aged	rosinium_aged_cornice_byzantine	Rosinium Aged Guilloche Cornice	Rosinium Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
50	PERMANENT_ALIAS	rosinium_surround_guilloche_aged	rosinium_aged_surround_byzantine	Rosinium Aged Guilloche Surround	Rosinium Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
51	PERMANENT_ALIAS	sanguenite_cornice_guilloche_aged	sanguenite_aged_cornice_byzantine	Sanguenite Aged Guilloche Cornice	Sanguenite Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
52	PERMANENT_ALIAS	sanguenite_surround_guilloche_aged	sanguenite_aged_surround_byzantine	Sanguenite Aged Guilloche Surround	Sanguenite Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
53	PERMANENT_ALIAS	selenephos_cornice_guilloche_aged	selenephos_aged_cornice_byzantine	Selenephos Aged Guilloche Cornice	Selenephos Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
54	PERMANENT_ALIAS	selenephos_surround_guilloche_aged	selenephos_aged_surround_byzantine	Selenephos Aged Guilloche Surround	Selenephos Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
55	PERMANENT_ALIAS	solistra_cornice_guilloche_aged	solistra_aged_cornice_byzantine	Solistra Aged Guilloche Cornice	Solistra Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
56	PERMANENT_ALIAS	solistra_surround_guilloche_aged	solistra_aged_surround_byzantine	Solistra Aged Guilloche Surround	Solistra Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
57	PERMANENT_ALIAS	striatus_cornice_guilloche_aged	striatus_aged_cornice_byzantine	Striatus Aged Guilloche Cornice	Striatus Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
58	PERMANENT_ALIAS	striatus_surround_guilloche_aged	striatus_aged_surround_byzantine	Striatus Aged Guilloche Surround	Striatus Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
59	PERMANENT_ALIAS	aganite_ceiling_coffered_guilloche_black_small	aganite_ceiling_coffered_byzantine_black_small	Black Aganite Guilloche Coffered Ceiling	Black Aganite Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
60	PERMANENT_ALIAS	aganite_ceiling_coffered_guilloche_white_small	aganite_ceiling_coffered_byzantine_white_small	White Aganite Guilloche Coffered Ceiling	White Aganite Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
61	PERMANENT_ALIAS	aganite_cornice_guilloche	aganite_cornice_byzantine	Aganite Guilloche Cornice	Aganite Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
62	PERMANENT_ALIAS	aganite_surround_guilloche	aganite_surround_byzantine	Aganite Guilloche Surround	Aganite Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
63	PERMANENT_ALIAS	aterzon_ceiling_coffered_guilloche_black_small	aterzon_ceiling_coffered_byzantine_black_small	Black Aterzon Guilloche Coffered Ceiling	Black Aterzon Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
64	PERMANENT_ALIAS	aterzon_ceiling_coffered_guilloche_white_small	aterzon_ceiling_coffered_byzantine_white_small	White Aterzon Guilloche Coffered Ceiling	White Aterzon Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
65	PERMANENT_ALIAS	aterzon_cornice_guilloche	aterzon_cornice_byzantine	Aterzon Guilloche Cornice	Aterzon Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
66	PERMANENT_ALIAS	aterzon_surround_guilloche	aterzon_surround_byzantine	Aterzon Guilloche Surround	Aterzon Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
67	PERMANENT_ALIAS	borealis_ceiling_coffered_guilloche_black_small	borealis_ceiling_coffered_byzantine_black_small	Black Borealis Guilloche Coffered Ceiling	Black Borealis Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
68	PERMANENT_ALIAS	borealis_ceiling_coffered_guilloche_white_small	borealis_ceiling_coffered_byzantine_white_small	White Borealis Guilloche Coffered Ceiling	White Borealis Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
69	PERMANENT_ALIAS	borealis_cornice_guilloche	borealis_cornice_byzantine	Borealis Guilloche Cornice	Borealis Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
70	PERMANENT_ALIAS	borealis_surround_guilloche	borealis_surround_byzantine	Borealis Guilloche Surround	Borealis Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
71	PERMANENT_ALIAS	brectite_ceiling_coffered_guilloche_black_small	brectite_ceiling_coffered_byzantine_black_small	Black Brectite Guilloche Coffered Ceiling	Black Brectite Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
72	PERMANENT_ALIAS	brectite_ceiling_coffered_guilloche_white_small	brectite_ceiling_coffered_byzantine_white_small	White Brectite Guilloche Coffered Ceiling	White Brectite Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
73	PERMANENT_ALIAS	brectite_cornice_guilloche	brectite_cornice_byzantine	Brectite Guilloche Cornice	Brectite Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
74	PERMANENT_ALIAS	brectite_surround_guilloche	brectite_surround_byzantine	Brectite Guilloche Surround	Brectite Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
75	PERMANENT_ALIAS	calacattum_ceiling_coffered_guilloche_black_small	calacattum_ceiling_coffered_byzantine_black_small	Black Calacattum Guilloche Coffered Ceiling	Black Calacattum Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
76	PERMANENT_ALIAS	calacattum_ceiling_coffered_guilloche_white_small	calacattum_ceiling_coffered_byzantine_white_small	White Calacattum Guilloche Coffered Ceiling	White Calacattum Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
77	PERMANENT_ALIAS	calacattum_cornice_guilloche	calacattum_cornice_byzantine	Calacattum Guilloche Cornice	Calacattum Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
78	PERMANENT_ALIAS	calacattum_surround_guilloche	calacattum_surround_byzantine	Calacattum Guilloche Surround	Calacattum Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
79	PERMANENT_ALIAS	ceiling_coffered_guilloche_black_small	ceiling_coffered_byzantine_black_small	Black Guilloche Coffered Ceiling	Black Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
80	PERMANENT_ALIAS	ceiling_coffered_guilloche_white_small	ceiling_coffered_byzantine_white_small	White Guilloche Coffered Ceiling	White Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
81	PERMANENT_ALIAS	chalstrom_ceiling_coffered_guilloche_black_small	chalstrom_ceiling_coffered_byzantine_black_small	Black Chalstrom Guilloche Coffered Ceiling	Black Chalstrom Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
82	PERMANENT_ALIAS	chalstrom_ceiling_coffered_guilloche_white_small	chalstrom_ceiling_coffered_byzantine_white_small	White Chalstrom Guilloche Coffered Ceiling	White Chalstrom Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
83	PERMANENT_ALIAS	chalstrom_cornice_guilloche	chalstrom_cornice_byzantine	Chalstrom Guilloche Cornice	Chalstrom Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
84	PERMANENT_ALIAS	chalstrom_surround_guilloche	chalstrom_surround_byzantine	Chalstrom Guilloche Surround	Chalstrom Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
85	PERMANENT_ALIAS	chrysonyx_ceiling_coffered_guilloche_black_small	chrysonyx_ceiling_coffered_byzantine_black_small	Black Chrysonyx Guilloche Coffered Ceiling	Black Chrysonyx Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
86	PERMANENT_ALIAS	chrysonyx_ceiling_coffered_guilloche_white_small	chrysonyx_ceiling_coffered_byzantine_white_small	White Chrysonyx Guilloche Coffered Ceiling	White Chrysonyx Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
87	PERMANENT_ALIAS	chrysonyx_cornice_guilloche	chrysonyx_cornice_byzantine	Chrysonyx Guilloche Cornice	Chrysonyx Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
88	PERMANENT_ALIAS	chrysonyx_surround_guilloche	chrysonyx_surround_byzantine	Chrysonyx Guilloche Surround	Chrysonyx Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
89	PERMANENT_ALIAS	etruscus_ceiling_coffered_guilloche_black_small	etruscus_ceiling_coffered_byzantine_black_small	Black Etruscus Guilloche Coffered Ceiling	Black Etruscus Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
90	PERMANENT_ALIAS	etruscus_ceiling_coffered_guilloche_white_small	etruscus_ceiling_coffered_byzantine_white_small	White Etruscus Guilloche Coffered Ceiling	White Etruscus Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
91	PERMANENT_ALIAS	etruscus_cornice_guilloche	etruscus_cornice_byzantine	Etruscus Guilloche Cornice	Etruscus Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
92	PERMANENT_ALIAS	etruscus_surround_guilloche	etruscus_surround_byzantine	Etruscus Guilloche Surround	Etruscus Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
93	PERMANENT_ALIAS	gelastrum_ceiling_coffered_guilloche_black_small	gelastrum_ceiling_coffered_byzantine_black_small	Black Gelastrum Guilloche Coffered Ceiling	Black Gelastrum Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
94	PERMANENT_ALIAS	gelastrum_ceiling_coffered_guilloche_white_small	gelastrum_ceiling_coffered_byzantine_white_small	White Gelastrum Guilloche Coffered Ceiling	White Gelastrum Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
95	PERMANENT_ALIAS	gelastrum_cornice_guilloche	gelastrum_cornice_byzantine	Gelastrum Guilloche Cornice	Gelastrum Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
96	PERMANENT_ALIAS	gelastrum_surround_guilloche	gelastrum_surround_byzantine	Gelastrum Guilloche Surround	Gelastrum Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
97	PERMANENT_ALIAS	glacium_ceiling_coffered_guilloche_black_small	glacium_ceiling_coffered_byzantine_black_small	Black Glacium Guilloche Coffered Ceiling	Black Glacium Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
98	PERMANENT_ALIAS	glacium_ceiling_coffered_guilloche_white_small	glacium_ceiling_coffered_byzantine_white_small	White Glacium Guilloche Coffered Ceiling	White Glacium Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
99	PERMANENT_ALIAS	glacium_cornice_guilloche	glacium_cornice_byzantine	Glacium Guilloche Cornice	Glacium Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
100	PERMANENT_ALIAS	glacium_surround_guilloche	glacium_surround_byzantine	Glacium Guilloche Surround	Glacium Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
101	PERMANENT_ALIAS	hesperion_ceiling_coffered_guilloche_black_small	hesperion_ceiling_coffered_byzantine_black_small	Black Hesperion Guilloche Coffered Ceiling	Black Hesperion Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
102	PERMANENT_ALIAS	hesperion_ceiling_coffered_guilloche_white_small	hesperion_ceiling_coffered_byzantine_white_small	White Hesperion Guilloche Coffered Ceiling	White Hesperion Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
103	PERMANENT_ALIAS	hesperion_cornice_guilloche	hesperion_cornice_byzantine	Hesperion Guilloche Cornice	Hesperion Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
104	PERMANENT_ALIAS	hesperion_surround_guilloche	hesperion_surround_byzantine	Hesperion Guilloche Surround	Hesperion Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
105	PERMANENT_ALIAS	imperium_ceiling_coffered_guilloche_black_small	imperium_ceiling_coffered_byzantine_black_small	Black Imperium Guilloche Coffered Ceiling	Black Imperium Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
106	PERMANENT_ALIAS	imperium_ceiling_coffered_guilloche_white_small	imperium_ceiling_coffered_byzantine_white_small	White Imperium Guilloche Coffered Ceiling	White Imperium Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
107	PERMANENT_ALIAS	imperium_cornice_guilloche	imperium_cornice_byzantine	Imperium Guilloche Cornice	Imperium Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
108	PERMANENT_ALIAS	imperium_surround_guilloche	imperium_surround_byzantine	Imperium Guilloche Surround	Imperium Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
109	PERMANENT_ALIAS	kelastrion_cornice_guilloche	kelastrion_cornice_byzantine	Kelastrion Guilloche Cornice	Kelastrion Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
110	PERMANENT_ALIAS	kelastrion_surround_guilloche	kelastrion_surround_byzantine	Kelastrion Guilloche Surround	Kelastrion Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
111	PERMANENT_ALIAS	kylorion_ceiling_coffered_guilloche_black_small	kylorion_ceiling_coffered_byzantine_black_small	Black Kylorion Guilloche Coffered Ceiling	Black Kylorion Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
112	PERMANENT_ALIAS	kylorion_ceiling_coffered_guilloche_white_small	kylorion_ceiling_coffered_byzantine_white_small	White Kylorion Guilloche Coffered Ceiling	White Kylorion Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
113	PERMANENT_ALIAS	kylorion_cornice_guilloche	kylorion_cornice_byzantine	Kylorion Guilloche Cornice	Kylorion Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
114	PERMANENT_ALIAS	kylorion_surround_guilloche	kylorion_surround_byzantine	Kylorion Guilloche Surround	Kylorion Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
115	PERMANENT_ALIAS	latmion_cornice_guilloche	latmion_cornice_byzantine	Latmion Guilloche Cornice	Latmion Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
116	PERMANENT_ALIAS	latmion_surround_guilloche	latmion_surround_byzantine	Latmion Guilloche Surround	Latmion Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
117	PERMANENT_ALIAS	laurentium_ceiling_coffered_guilloche_black_small	laurentium_ceiling_coffered_byzantine_black_small	Black Laurentium Guilloche Coffered Ceiling	Black Laurentium Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
118	PERMANENT_ALIAS	laurentium_ceiling_coffered_guilloche_white_small	laurentium_ceiling_coffered_byzantine_white_small	White Laurentium Guilloche Coffered Ceiling	White Laurentium Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
119	PERMANENT_ALIAS	laurentium_cornice_guilloche	laurentium_cornice_byzantine	Laurentium Guilloche Cornice	Laurentium Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
120	PERMANENT_ALIAS	laurentium_surround_guilloche	laurentium_surround_byzantine	Laurentium Guilloche Surround	Laurentium Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
121	PERMANENT_ALIAS	mielonyx_ceiling_coffered_guilloche_black_small	mielonyx_ceiling_coffered_byzantine_black_small	Black Mielonyx Guilloche Coffered Ceiling	Black Mielonyx Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
122	PERMANENT_ALIAS	mielonyx_ceiling_coffered_guilloche_white_small	mielonyx_ceiling_coffered_byzantine_white_small	White Mielonyx Guilloche Coffered Ceiling	White Mielonyx Byzantine Coffered Ceiling	Byzantine	Published ≤1.5.2	Byzantine style	Approved
123	PERMANENT_ALIAS	mielonyx_cornice_guilloche	mielonyx_cornice_byzantine	Mielonyx Guilloche Cornice	Mielonyx Byzantine Cornice	Byzantine	Published ≤1.5.2	Byzantine style	Approved
124	PERMANENT_ALIAS	mielonyx_surround_guilloche	mielonyx_surround_byzantine	Mielonyx Guilloche Surround	Mielonyx Byzantine Surround	Byzantine	Published ≤1.5.2	Byzantine style	Approved
